Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
28c.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.954,58495.8,58501.8
7a.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.381,999.702,1005.1
11a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.999,252.42,256.437
6a.sql,DuckDB,NULL,4--2---1---3--0---,0.815,460.416,461.249
6d.sql,DuckDB,NULL,4--2---1---3--0---,0.842,577.483,578.342
5c.sql,DuckDB,NULL,4--3---2---1---0--,0.813,57864,57864.8
18c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.039,59310.3,59314.4
18b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.177,57990.8,57995
1b.sql,DuckDB,NULL,4--3---2---1---0--,0.657,551.624,552.298
8c.sql,DuckDB,NULL,6--5--3--2---4--1------0--,3.659,5878.41,5882.09
29b.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.481,51358.4,51363.9
6b.sql,DuckDB,NULL,4--2---1---3--0---,0.818,408.523,409.359
30c.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.491,59209.7,59214.2
31c.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.752,59271.7,59276.5
13d.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.271,783.345,787.644
17d.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.063,1722.45,1726.53
25b.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.034,57617.3,57621.4
3a.sql,DuckDB,NULL,3--2---1---0--,0.578,57188.5,57189
16b.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.248,10320.5,10324.8
27b.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.587,56439,56444.6
17e.sql,DuckDB,NULL,6--4---3---2---1---5--0---,3.981,4478.47,4482.47
28a.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.864,57726.5,57732.4
31b.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,5.185,58207.7,58212.9
32a.sql,DuckDB,NULL,5--4--3----2---1---0--,1.196,492.805,494.018
15a.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.321,50546,50550.4
20c.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.111,1957.98,1963.11
6f.sql,DuckDB,NULL,4--2---1---3--0---,0.748,3414.31,3415.08
18a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.485,62624.6,62629.1
10c.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.327,2494.75,2499.09
5b.sql,DuckDB,NULL,4--3---2---1---0--,1.027,56393.7,56394.7
31a.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.943,58320.7,58325.7
14a.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.768,57614.2,57618
32b.sql,DuckDB,NULL,5--4--3----2---1---0--,1.215,502.435,503.667
13c.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.181,345.124,349.322
24b.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.67,57940.7,57945.4
21c.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.585,57006.5,57011.1
8a.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.011,1253.71,1257.74
20a.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.107,1241.47,1246.6
2c.sql,DuckDB,NULL,4--3---2---1---0--,0.55,1549.92,1550.49
13b.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.086,423.616,427.721
10a.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.102,1661.36,1665.48
11c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.91,275.384,279.312
27a.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.289,56423.7,56429
10b.sql,DuckDB,NULL,6--4---3---2---5--1----0--,3.978,1585.88,1589.88
4b.sql,DuckDB,NULL,4--3---2---1---0--,0.81,195.76,196.588
22b.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.605,56984.8,56989.4
1d.sql,DuckDB,NULL,4--3---2---1---0--,0.65,647.605,648.271
4c.sql,DuckDB,NULL,4--3---2---1---0--,0.765,744.836,745.617
16a.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.374,4997.95,5002.35
9a.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.563,1757.67,1762.25
28b.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.963,56614.1,56620.1
17a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.181,2029.2,2033.4
5a.sql,DuckDB,NULL,4--3---2---1---0--,0.892,57086.2,57087.1
2b.sql,DuckDB,NULL,4--3---2---1---0--,0.632,1592.84,1593.48
