Query,Optimizer,Loop,JoinOrder,PreparationTime,ExecutionTime,TotalTime
1a.sql,DuckDB,NULL,4--3---2---1---0--,0.999,660.461,661.477
9d.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.17,3422.64,3426.83
19b.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.993,58044.8,58049.8
29c.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.563,58212.2,58217.7
23a.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.632,56732,56736.7
9c.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.42,2026.29,2030.73
2d.sql,DuckDB,NULL,4--3---2---1---0--,0.726,1649.94,1650.69
11b.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.247,233.131,237.395
23c.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.839,57006.8,57011.7
16d.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.497,5787.22,5791.73
2a.sql,DuckDB,NULL,4--3---2---1---0--,0.738,1595.91,1596.67
14b.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,4.247,57399.3,57403.5
19d.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.19,7587.8,7592.01
16c.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.388,5878.37,5882.78
13a.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.025,56546.1,56550.1
25a.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,3.964,61142.2,61146.2
17c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,6.434,1873.41,1879.87
3b.sql,DuckDB,NULL,3--2---1---0--,0.632,58474.3,58474.9
17b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.159,1670.01,1674.19
20b.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.119,669.292,674.427
6c.sql,DuckDB,NULL,4--2---1---3--0---,0.78,392.852,393.65
1c.sql,DuckDB,NULL,4--3---2---1---0--,0.734,240.395,241.146
30a.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.382,59159,59163.4
29a.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.612,57974.9,57980.5
30b.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.832,57965.8,57970.7
11d.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.652,449.703,453.371
8b.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.488,1085.6,1090.11
26a.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.609,1272.3,1276.93
23b.sql,DuckDB,NULL,8--4---9--5---7--2---3---10--6---1--0------,4.654,50329.6,50334.3
15b.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.344,50378.6,50383
12a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.701,56301.8,56305.5
22a.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,4.657,56996.2,57000.9
19a.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.672,58011,58015.7
21a.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.456,57018.3,57022.8
26c.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.566,1137.23,1141.81
7b.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.347,683.244,688.61
14c.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.748,58146.3,58150.1
9b.sql,DuckDB,NULL,7--4---3---6--2----1---5--0---,4.616,1452.24,1456.87
19c.sql,DuckDB,NULL,2--1---8---7--0----9--6---5---4---3---,4.548,58427.5,58432
7c.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.464,32561.7,32567.2
4a.sql,DuckDB,NULL,4--3---2---1---0--,0.793,494.318,495.13
6e.sql,DuckDB,NULL,4--2---1---3--0---,0.805,572.465,573.288
12c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.786,57132.2,57136
27c.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.457,57118,57123.5
26b.sql,DuckDB,NULL,4--3---10---9--6---11--7---8--5---1--0---2------,4.533,1047.67,1052.22
33a.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,5.828,418.266,424.112
24a.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.584,58350.9,58355.5
33c.sql,DuckDB,NULL,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,6.077,470.28,476.379
21b.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.591,56536.2,56540.9
25c.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,3.944,65135.8,65139.8
3c.sql,DuckDB,NULL,3--2---1---0--,2.861,60276.2,60279
15d.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,5.004,3551.41,3556.43
22c.sql,DuckDB,NULL,7--2---9--4---6--0---1---10--5---8--3------,6.399,60271.3,60277.7
28c.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,6.012,58836.3,58842.3
7a.sql,DuckDB,NULL,7--4---3---1---6--0---2---5---,5.391,994.517,999.925
11a.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,4.05,252.959,257.027
6a.sql,DuckDB,NULL,4--2---1---3--0---,0.813,461.342,462.174
6d.sql,DuckDB,NULL,4--2---1---3--0---,0.846,572.44,573.302
5c.sql,DuckDB,NULL,4--3---2---1---0--,0.834,58152.3,58153.1
18c.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.115,59580.1,59584.3
18b.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.188,58228.2,58232.4
1b.sql,DuckDB,NULL,4--3---2---1---0--,0.64,555.069,555.726
8c.sql,DuckDB,NULL,6--5--3--2---4--1------0--,3.688,5945.1,5948.8
29b.sql,DuckDB,NULL,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,5.539,51564.3,51569.9
6b.sql,DuckDB,NULL,4--2---1---3--0---,0.821,406.865,407.703
30c.sql,DuckDB,NULL,10--3---7--4---9--6---8--5---1--0---2----11-----,4.548,59462.4,59467
31c.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.875,59517.1,59522
13d.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,3.976,790.224,794.217
17d.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.108,1722.94,1727.06
25b.sql,DuckDB,NULL,7--0---8--6---5---4---3---2---1---,4.085,57862.2,57866.3
3a.sql,DuckDB,NULL,3--2---1---0--,0.586,57431.9,57432.5
16b.sql,DuckDB,NULL,6--0---1---7--5---4---3---2---,4.33,10383.4,10387.8
27b.sql,DuckDB,NULL,9--5---7--3---4---1--0---2---10--6----11-----8--,5.615,56681.7,56687.3
17e.sql,DuckDB,NULL,6--4---3---2---1---5--0---,3.986,4457.48,4461.48
28a.sql,DuckDB,NULL,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,5.831,58007.2,58013.1
31b.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,5.217,58522.1,58527.4
32a.sql,DuckDB,NULL,5--4--3----2---1---0--,1.224,494.399,495.64
15a.sql,DuckDB,NULL,6--3---7--4---5--1---2---8--0-----,4.387,50760,50764.4
20c.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.179,1960.83,1966.02
6f.sql,DuckDB,NULL,4--2---1---3--0---,0.752,3448.9,3449.67
18a.sql,DuckDB,NULL,6--4---3---2---1---5--0---,4.444,62884.9,62889.4
10c.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.284,2506.26,2510.56
5b.sql,DuckDB,NULL,4--3---2---1---0--,1.033,56643.8,56644.8
31a.sql,DuckDB,NULL,9--0---6--2---8--4---5--1---7--3---10------,4.895,58564.5,58569.4
14a.sql,DuckDB,NULL,4--0---7--6---5---3---2---1---,3.833,57900.6,57904.5
32b.sql,DuckDB,NULL,5--4--3----2---1---0--,1.21,509.5,510.726
13c.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.211,343.933,348.162
24b.sql,DuckDB,NULL,2--1---10---9--0----11--8---7---6---5---4---3---,4.731,58232.2,58237
21c.sql,DuckDB,NULL,6--2---4--0---1---8--7---3-----5--,4.635,57277.8,57282.5
8a.sql,DuckDB,NULL,6--5--3--2---4--1------0--,4.045,1254.44,1258.51
20a.sql,DuckDB,NULL,8--4---3---7--5---9--6---1--0---2-----,5.19,1263.69,1268.9
2c.sql,DuckDB,NULL,4--3---2---1---0--,0.56,1597.54,1598.12
13b.sql,DuckDB,NULL,6--3---5--0---1---8--7---4---2----,4.131,427.995,432.143
10a.sql,DuckDB,NULL,6--4---3---2---5--1----0--,4.161,1677.49,1681.67
11c.sql,DuckDB,NULL,5--2---4--0---1---7--6---3----,3.943,277.128,281.089
