SQL,Optimizer,Join order,duration
6f.sql,Dynamic Programming,4--2---1---3--0---,1.018
6d.sql,Dynamic Programming,4--2---1---3--0---,0.85
5a.sql,Dynamic Programming,4--3---2---1---0--,1.066
5c.sql,Dynamic Programming,4--3---2---1---0--,0.892
8a.sql,Dynamic Programming,6--5--3--2---4--1------0--,3.035
4b.sql,Dynamic Programming,4--3---2---1---0--,0.59
3a.sql,Dynamic Programming,3--2---1---0--,0.514
1b.sql,Dynamic Programming,4--3---2---1---0--,0.688
6c.sql,Dynamic Programming,4--2---1---3--0---,0.679
4c.sql,Dynamic Programming,4--3---2---1---0--,0.569
5b.sql,Dynamic Programming,4--3---2---1---0--,0.735
9b.sql,Dynamic Programming,7--4---3---2--0---1---5---6---,3.377
6a.sql,Dynamic Programming,4--2---1---3--0---,0.663
8b.sql,Dynamic Programming,6--5--3--2---4--1------0--,3.031
2d.sql,Dynamic Programming,4--3---2---1---0--,0.445
2c.sql,Dynamic Programming,4--3---2---1---0--,0.431
7b.sql,Dynamic Programming,1--0---5---6--2----7--4---3---,3.686
7c.sql,Dynamic Programming,1--0---5---6--2----7--4---3---,3.736
9d.sql,Dynamic Programming,7--4---3---2--0---1---5---6---,3.006
6e.sql,Dynamic Programming,4--2---1---3--0---,0.64
3c.sql,Dynamic Programming,3--2---1---0--,0.435
8c.sql,Dynamic Programming,6--5--3--2---4--1------0--,2.71
1a.sql,Dynamic Programming,4--3---2---1---0--,0.873
3b.sql,Dynamic Programming,3--2---1---0--,0.48
1c.sql,Dynamic Programming,4--3---2---1---0--,0.659
7a.sql,Dynamic Programming,1--0---5---6--2----7--4---3---,3.728
4a.sql,Dynamic Programming,4--3---2---1---0--,0.597
9a.sql,Dynamic Programming,7--4---3---2--0---1---5---6---,3.284
2b.sql,Dynamic Programming,4--3---2---1---0--,0.492
8d.sql,Dynamic Programming,6--5--3--2---4--1------0--,2.679
9c.sql,Dynamic Programming,7--4---3---2--0---1---5---6---,2.972
1d.sql,Dynamic Programming,4--3---2---1---0--,0.601
6b.sql,Dynamic Programming,4--2---1---3--0---,0.646
2a.sql,Dynamic Programming,4--3---2---1---0--,0.489
