1a.sql, optimizer = RL Optimizer, loop = 4, join_order = 4-2-0-3-1-, reward = -10.492, duration(ms) = 10.492
1a.sql, optimizer = RL Optimizer, loop = 5, join_order = 4-3-1-2-0-, reward = -10.153, duration(ms) = 10.153
1a.sql, optimizer = RL Optimizer, loop = 6, join_order = 4-3-2-0-1-, reward = -9.792, duration(ms) = 9.792
1a.sql, optimizer = RL Optimizer, loop = 7, join_order = 4-2-3-1-0-, reward = -12.375, duration(ms) = 12.375
1a.sql, optimizer = RL Optimizer, loop = 8, join_order = 4-3-1-2-0-, reward = -21.253, duration(ms) = 11.1
1a.sql, optimizer = RL Optimizer, loop = 9, join_order = 4-3-2-1-0-, reward = -11.727, duration(ms) = 11.727
1a.sql, optimizer = RL Optimizer, loop = 10, join_order = 4-3-1-2-0-, reward = -31.161, duration(ms) = 9.908
1a.sql, optimizer = RL Optimizer, loop = 11, join_order = 4-2-0-3-1-, reward = -21.011, duration(ms) = 10.519
1a.sql, optimizer = RL Optimizer, loop = 12, join_order = 4-2-0-3-1-, reward = -33.494, duration(ms) = 12.483
1a.sql, optimizer = RL Optimizer, loop = 13, join_order = 4-3-1-2-0-, reward = -42.392, duration(ms) = 11.231
1a.sql, optimizer = RL Optimizer, loop = 14, join_order = 4-3-1-2-0-, reward = -55.208, duration(ms) = 12.816
1a.sql, optimizer = RL Optimizer, loop = 15, join_order = 4-2-0-3-1-, reward = -44.712, duration(ms) = 11.218
1a.sql, optimizer = RL Optimizer, loop = 16, join_order = 4-2-0-3-1-, reward = -58.315, duration(ms) = 13.603
1a.sql, optimizer = RL Optimizer, loop = 17, join_order = 4-2-0-3-1-, reward = -76.034, duration(ms) = 17.719
1a.sql, optimizer = RL Optimizer, loop = 18, join_order = 4-3-2-0-1-, reward = -24.881, duration(ms) = 15.089
1a.sql, optimizer = RL Optimizer, loop = 19, join_order = 4-3-1-2-0-, reward = -67.117, duration(ms) = 11.909
1a.sql, optimizer = RL Optimizer, loop = 20, join_order = 4-3-1-2-0-, reward = -81.214, duration(ms) = 14.097
1a.sql, optimizer = RL Optimizer, loop = 21, join_order = 4-2-3-0-1-, reward = -12.99, duration(ms) = 12.99
1a.sql, optimizer = RL Optimizer, loop = 22, join_order = 4-2-0-3-1-, reward = -88.276, duration(ms) = 12.242
1a.sql, optimizer = RL Optimizer, loop = 23, join_order = 4-2-0-3-1-, reward = -101.473, duration(ms) = 13.197
1a.sql, optimizer = RL Optimizer, loop = 24, join_order = 4-2-0-3-1-, reward = -111.996, duration(ms) = 10.523
1a.sql, optimizer = RL Optimizer, loop = 25, join_order = 4-3-1-2-0-, reward = -91.035, duration(ms) = 9.821
