Group,Optimizer,Loop,JoinOrder,ExecutionTime
28c.sql,Reinforcement Learning,99,7-12-13-0-10-11-8-9-3-4-6-5-1-2-,1351.2
23a.sql,Reinforcement Learning,99,4-8-7-9-0-1-2-5-3-10-6-,642.111
29c.sql,Reinforcement Learning,99,9-12-5-16-1-3-4-10-6-0-13-14-8-2-15-11-7-,1427.54
33b.sql,Reinforcement Learning,99,4-12-11-13-6-5-10-8-3-1-9-2-7-0-,291.425
28b.sql,Reinforcement Learning,99,7-12-13-0-8-1-2-10-11-6-5-9-3-4-,745.161
27b.sql,Reinforcement Learning,99,5-9-8-11-10-0-7-1-3-4-2-6-,640.021
29a.sql,Reinforcement Learning,99,9-12-16-11-7-5-14-13-10-15-6-8-0-4-1-2-3-,1112.74
30c.sql,Reinforcement Learning,69,6-9-3-11-0-10-8-1-5-2-7-4-,2159.32
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1321.58
22b.sql,Reinforcement Learning,37,4-9-10-8-5-6-0-3-1-7-2-,889.093
6d.sql,Reinforcement Learning,19,3-0-2-1-4-,409.485
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,539.008
13b.sql,Reinforcement Learning,58,4-8-5-0-6-1-3-7-2-,224.279
17e.sql,Reinforcement Learning,18,2-4-0-3-1-6-5-,1919.37
5a.sql,Reinforcement Learning,11,0-2-3-4-1-,119.602
15d.sql,Reinforcement Learning,45,6-3-7-8-0-5-2-1-4-,458.164
16a.sql,Reinforcement Learning,28,7-5-3-4-2-1-0-6-,514.019
11c.sql,Reinforcement Learning,33,2-5-6-7-3-4-0-1-,278.565
10a.sql,Reinforcement Learning,22,2-4-3-1-5-0-6-,834.234
11a.sql,Reinforcement Learning,25,3-6-4-0-1-5-2-7-,144.503
5c.sql,Reinforcement Learning,12,0-2-3-1-4-,1254.8
8a.sql,Reinforcement Learning,19,4-0-1-5-3-2-6-,562.379
12a.sql,Reinforcement Learning,26,3-6-4-1-0-5-2-7-,546.497
14c.sql,Reinforcement Learning,20,2-6-7-5-1-3-4-0-,1241.28
19a.sql,Reinforcement Learning,90,7-2-5-9-6-4-3-1-8-0-,1190.03
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,775.985
4b.sql,Reinforcement Learning,10,0-2-4-3-1-,78.283
3a.sql,Reinforcement Learning,8,0-2-3-1-,907.41
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,88.605
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,896.042
15b.sql,Reinforcement Learning,41,1-5-7-2-8-6-3-0-4-,449.868
23c.sql,Reinforcement Learning,78,4-8-9-10-6-5-7-3-0-1-2-,637.127
26b.sql,Reinforcement Learning,58,6-9-8-11-0-5-7-1-2-4-3-10-,643.436
19c.sql,Reinforcement Learning,77,7-2-9-6-8-5-3-4-0-1-,1247.55
17f.sql,Reinforcement Learning,18,2-4-0-5-3-6-1-,1009.33
27c.sql,Reinforcement Learning,95,5-9-10-11-6-0-8-2-1-7-3-4-,1032.74
6c.sql,Reinforcement Learning,10,1-2-0-4-3-,249.495
32a.sql,Reinforcement Learning,17,5-3-2-0-1-4-,258.369
11d.sql,Reinforcement Learning,18,2-5-6-7-3-4-1-0-,286.053
19d.sql,Reinforcement Learning,53,7-2-9-6-4-5-3-1-0-8-,2293.82
4c.sql,Reinforcement Learning,15,1-3-2-4-0-,178.204
26a.sql,Reinforcement Learning,90,6-9-0-1-4-3-8-5-11-10-7-2-,992.076
10c.sql,Reinforcement Learning,29,0-1-5-4-2-3-6-,927.729
5b.sql,Reinforcement Learning,17,0-2-3-1-4-,98.549
9b.sql,Reinforcement Learning,24,5-0-2-6-1-7-4-3-,695.899
10b.sql,Reinforcement Learning,23,2-4-3-1-0-6-5-,805.303
6a.sql,Reinforcement Learning,10,1-2-0-4-3-,284.781
30a.sql,Reinforcement Learning,72,6-9-3-11-0-10-2-1-8-7-4-5-,1447.65
31a.sql,Reinforcement Learning,46,1-5-10-8-4-0-7-3-6-9-2-,1483.62
8b.sql,Reinforcement Learning,23,4-0-1-3-2-5-6-,471.186
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,259.848
15c.sql,Reinforcement Learning,81,6-7-8-4-0-5-3-2-1-,601.834
2c.sql,Reinforcement Learning,15,0-2-3-4-1-,190.974
21a.sql,Reinforcement Learning,43,2-6-7-8-5-3-4-0-1-,970.725
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,878.478
13c.sql,Reinforcement Learning,43,4-8-5-6-3-1-0-7-2-,178.175
31b.sql,Reinforcement Learning,38,4-8-10-7-3-0-9-6-5-1-2-,1440.66
20c.sql,Reinforcement Learning,35,5-7-0-1-4-3-9-6-8-2-,975.869
7b.sql,Reinforcement Learning,40,6-2-1-0-7-5-4-3-,285.055
21c.sql,Reinforcement Learning,54,2-6-7-8-4-0-1-3-5-,1036.1
7c.sql,Reinforcement Learning,48,5-1-4-6-7-0-3-2-,1048.51
25b.sql,Reinforcement Learning,28,3-6-8-0-4-5-7-2-1-,1172.14
9d.sql,Reinforcement Learning,30,5-2-7-4-1-3-6-0-,1126.59
14a.sql,Reinforcement Learning,21,2-6-7-5-1-3-4-0-,1202.61
25a.sql,Reinforcement Learning,49,3-6-0-7-8-4-1-5-2-,1290.06
12c.sql,Reinforcement Learning,32,6-3-5-2-7-4-0-1-,807.109
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,727.454
20a.sql,Reinforcement Learning,33,3-4-9-7-5-8-6-0-1-2-,738.482
6e.sql,Reinforcement Learning,10,1-2-0-4-3-,333.578
3c.sql,Reinforcement Learning,9,0-2-1-3-,1202.3
8c.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,3290.8
11b.sql,Reinforcement Learning,50,3-6-4-1-0-5-2-7-,87.357
21b.sql,Reinforcement Learning,24,2-6-7-8-5-3-4-1-0-,552.167
1a.sql,Reinforcement Learning,9,1-3-4-2-0-,131.865
22a.sql,Reinforcement Learning,46,4-9-10-8-3-7-2-6-5-1-0-,924.814
26c.sql,Reinforcement Learning,86,6-9-0-4-3-11-2-7-10-1-8-5-,1018.29
27a.sql,Reinforcement Learning,83,5-9-11-0-2-8-10-6-1-7-3-4-,703.674
17c.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,481.636
30b.sql,Reinforcement Learning,68,6-9-11-8-5-0-1-3-10-7-4-2-,1385.39
3b.sql,Reinforcement Learning,8,0-2-3-1-,508.095
18b.sql,Reinforcement Learning,20,5-0-6-3-1-4-2-,1280.04
1c.sql,Reinforcement Learning,9,1-3-4-2-0-,88.518
31c.sql,Reinforcement Learning,44,1-5-8-4-10-0-7-3-9-6-2-,2215.88
7a.sql,Reinforcement Learning,24,2-6-5-0-1-7-4-3-,357.188
4a.sql,Reinforcement Learning,9,1-3-4-2-0-,131.445
16b.sql,Reinforcement Learning,24,3-5-1-6-4-2-0-7-,2619.58
18c.sql,Reinforcement Learning,18,5-0-3-1-6-4-2-,2083.34
20b.sql,Reinforcement Learning,41,8-4-7-9-6-3-5-0-1-2-,562.121
9a.sql,Reinforcement Learning,35,5-0-2-1-4-6-7-3-,846.693
22c.sql,Reinforcement Learning,52,4-9-10-7-2-5-8-3-6-0-1-,1361.78
22d.sql,Reinforcement Learning,56,4-9-10-7-5-8-3-6-0-1-2-,1369.8
2b.sql,Reinforcement Learning,13,1-3-4-2-0-,292.259
8d.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,790.356
32b.sql,Reinforcement Learning,22,5-3-2-0-1-4-,261.036
9c.sql,Reinforcement Learning,40,5-0-2-1-6-4-7-3-,926.228
12b.sql,Reinforcement Learning,32,2-5-7-6-3-4-1-0-,267.401
17b.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,644.953
1d.sql,Reinforcement Learning,9,1-3-4-2-0-,88.604
27b.sql,Reinforcement Learning,97,5-9-8-11-7-3-4-0-1-2-10-6-,641.155
13a.sql,Reinforcement Learning,28,0-5-1-6-3-7-8-2-4-,789.175
25c.sql,Reinforcement Learning,33,3-6-0-8-7-4-1-5-2-,2166.62
6b.sql,Reinforcement Learning,17,4-2-1-0-3-,287.201
2a.sql,Reinforcement Learning,11,1-3-4-2-0-,258.125
13d.sql,Reinforcement Learning,32,2-7-5-1-0-6-3-8-4-,1261
14b.sql,Reinforcement Learning,23,2-6-7-3-4-5-0-1-,1172.32
24b.sql,Reinforcement Learning,99,5-8-11-7-6-3-2-1-10-9-0-4-,1209.89
29b.sql,Reinforcement Learning,99,9-12-16-11-7-10-6-5-14-4-15-1-8-2-3-0-13-,951.732
33a.sql,Reinforcement Learning,99,4-12-11-6-13-9-10-2-3-5-8-1-7-0-,322.311
28a.sql,Reinforcement Learning,99,7-12-0-13-1-11-10-6-8-5-2-9-3-4-,1358.86
23b.sql,Reinforcement Learning,99,5-9-0-1-10-6-8-4-7-3-2-,527.481
15a.sql,Reinforcement Learning,99,6-7-8-5-3-2-1-0-4-,542.201
33c.sql,Reinforcement Learning,99,6-11-12-13-10-3-9-5-2-7-0-4-8-1-,314.793
28c.sql,Reinforcement Learning,99,7-12-13-0-11-1-2-8-6-10-5-9-3-4-,1331.28
19b.sql,Reinforcement Learning,99,7-2-1-6-9-4-5-3-8-0-,1030.75
24a.sql,Reinforcement Learning,99,5-8-2-9-1-7-0-10-11-4-6-3-,1283.42
23a.sql,Reinforcement Learning,99,4-8-7-3-9-2-0-5-1-10-6-,623.49
29c.sql,Reinforcement Learning,99,9-12-5-16-1-13-14-3-4-2-8-0-15-11-7-10-6-,1418.9
33b.sql,Reinforcement Learning,99,4-12-11-13-6-8-10-7-0-3-1-5-9-2-,295.456
28b.sql,Reinforcement Learning,99,7-12-13-0-11-10-6-5-1-2-8-9-3-4-,747.684
29a.sql,Reinforcement Learning,99,9-12-16-11-7-10-5-4-14-0-13-6-15-8-1-2-3-,1115.39
30c.sql,Reinforcement Learning,64,6-9-3-11-0-10-8-2-1-5-7-4-,2125.87
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1316.44
6d.sql,Reinforcement Learning,18,3-0-2-1-4-,423.241
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,537.937
13b.sql,Reinforcement Learning,27,4-8-5-0-1-6-3-7-2-,222.738
17e.sql,Reinforcement Learning,18,2-4-0-3-1-6-5-,1930.14
5a.sql,Reinforcement Learning,11,0-2-3-4-1-,118.701
15d.sql,Reinforcement Learning,33,3-6-7-4-8-0-5-2-1-,451.074
16a.sql,Reinforcement Learning,25,7-5-3-1-0-6-4-2-,512.183
11c.sql,Reinforcement Learning,51,2-5-6-7-4-3-1-0-,279.245
10a.sql,Reinforcement Learning,37,2-4-1-5-0-3-6-,853.31
11a.sql,Reinforcement Learning,27,3-6-4-0-7-1-5-2-,140.342
5c.sql,Reinforcement Learning,11,0-2-3-1-4-,1240.29
8a.sql,Reinforcement Learning,50,4-1-3-2-0-6-5-,590.833
12a.sql,Reinforcement Learning,28,3-6-4-1-0-5-2-7-,546.489
14c.sql,Reinforcement Learning,32,2-6-4-7-3-0-5-1-,1260.22
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,785.418
4b.sql,Reinforcement Learning,11,0-2-4-3-1-,78.694
3a.sql,Reinforcement Learning,8,0-2-3-1-,909.901
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,90.682
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,892.781
15b.sql,Reinforcement Learning,83,1-5-7-8-0-4-2-6-3-,456.109
26b.sql,Reinforcement Learning,52,6-9-8-0-5-1-4-10-3-2-11-7-,632.226
19c.sql,Reinforcement Learning,71,7-2-9-1-6-5-4-0-3-8-,1231.99
17f.sql,Reinforcement Learning,16,2-4-0-5-3-6-1-,1011.35
27c.sql,Reinforcement Learning,43,5-9-11-10-6-8-7-3-4-0-1-2-,1040.14
6c.sql,Reinforcement Learning,11,1-2-0-3-4-,250.142
32a.sql,Reinforcement Learning,18,5-3-2-0-1-4-,260.242
11d.sql,Reinforcement Learning,24,2-5-6-7-3-4-1-0-,295.848
19d.sql,Reinforcement Learning,53,7-2-9-6-4-5-3-8-1-0-,2311.85
4c.sql,Reinforcement Learning,11,1-3-2-0-4-,178.518
26a.sql,Reinforcement Learning,56,6-9-0-1-4-3-8-5-10-2-11-7-,1000.55
10c.sql,Reinforcement Learning,37,0-1-4-3-5-2-6-,932.733
5b.sql,Reinforcement Learning,14,0-2-3-1-4-,96.829
9b.sql,Reinforcement Learning,77,5-0-2-6-1-7-4-3-,695.702
10b.sql,Reinforcement Learning,38,2-4-1-0-3-5-6-,805.355
6a.sql,Reinforcement Learning,16,1-2-0-3-4-,300.58
23b.sql,Reinforcement Learning,79,5-9-8-10-6-4-7-2-0-1-3-,528.057
31a.sql,Reinforcement Learning,47,1-5-8-4-10-0-7-6-2-3-9-,1463.18
8b.sql,Reinforcement Learning,88,4-0-1-5-3-6-2-,470.368
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,278.493
15a.sql,Reinforcement Learning,95,2-5-7-6-0-4-8-3-1-,545.38
2c.sql,Reinforcement Learning,11,0-2-3-4-1-,190.188
21a.sql,Reinforcement Learning,38,2-6-7-8-5-4-0-1-3-,968.467
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,873.641
13c.sql,Reinforcement Learning,51,4-8-5-6-3-0-1-7-2-,178.895
31b.sql,Reinforcement Learning,61,4-8-10-0-7-9-6-5-2-1-3-,1438.67
20c.sql,Reinforcement Learning,32,5-7-0-1-4-3-8-9-2-6-,954.012
7b.sql,Reinforcement Learning,46,6-2-1-7-5-4-3-0-,282.451
21c.sql,Reinforcement Learning,33,2-6-7-3-8-5-4-0-1-,1045.1
7c.sql,Reinforcement Learning,44,5-1-4-3-6-7-0-2-,1038.65
25b.sql,Reinforcement Learning,36,3-6-8-0-7-5-4-1-2-,1168.8
9d.sql,Reinforcement Learning,31,5-2-7-4-3-6-1-0-,1123.39
14a.sql,Reinforcement Learning,28,2-6-7-5-3-1-4-0-,1204.59
25a.sql,Reinforcement Learning,54,3-6-0-7-8-4-1-5-2-,1327.7
12c.sql,Reinforcement Learning,30,3-6-5-7-2-4-0-1-,820.331
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,753.78
6e.sql,Reinforcement Learning,11,1-2-0-3-4-,333.709
3c.sql,Reinforcement Learning,9,0-2-1-3-,1196.82
8c.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,3283.01
11b.sql,Reinforcement Learning,47,3-6-4-0-1-5-2-7-,88.298
21b.sql,Reinforcement Learning,33,2-6-5-8-7-3-4-0-1-,555.574
19b.sql,Reinforcement Learning,62,7-0-2-1-6-4-5-9-8-3-,1033.02
1a.sql,Reinforcement Learning,9,1-3-4-2-0-,130.186
22a.sql,Reinforcement Learning,51,4-9-10-8-3-7-2-5-6-1-0-,908.9
27a.sql,Reinforcement Learning,82,5-9-11-10-8-6-7-3-4-0-2-1-,679.542
17c.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,502.497
30b.sql,Reinforcement Learning,47,6-9-11-8-5-3-10-7-4-0-1-2-,1385.75
3b.sql,Reinforcement Learning,8,0-2-3-1-,514.391
18b.sql,Reinforcement Learning,16,2-4-6-3-0-5-1-,1258.01
1c.sql,Reinforcement Learning,9,1-3-4-2-0-,88.748
31c.sql,Reinforcement Learning,46,1-5-8-4-10-0-9-7-3-6-2-,2230.23
28b.sql,Reinforcement Learning,76,7-12-13-0-1-2-8-10-11-5-6-9-3-4-,744.114
7a.sql,Reinforcement Learning,38,2-6-5-0-1-4-3-7-,353.635
4a.sql,Reinforcement Learning,12,1-3-4-2-0-,131.672
16b.sql,Reinforcement Learning,24,3-5-1-6-4-2-0-7-,2624.35
18c.sql,Reinforcement Learning,20,5-0-3-1-6-4-2-,2074.71
22c.sql,Reinforcement Learning,46,4-9-10-7-5-2-6-1-0-8-3-,1378.24
22d.sql,Reinforcement Learning,52,4-9-10-7-2-5-6-1-0-8-3-,1378.13
2b.sql,Reinforcement Learning,11,1-3-4-2-0-,293.252
8d.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,786.122
32b.sql,Reinforcement Learning,18,5-3-2-0-4-1-,261.554
12b.sql,Reinforcement Learning,17,2-5-7-6-3-4-0-1-,265.35
17b.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,647.701
1d.sql,Reinforcement Learning,9,1-3-4-2-0-,88.969
13a.sql,Reinforcement Learning,28,0-5-1-6-3-7-2-8-4-,780.8
25c.sql,Reinforcement Learning,23,3-6-0-8-7-4-1-5-2-,2146.72
6b.sql,Reinforcement Learning,11,4-2-1-0-3-,286.868
2a.sql,Reinforcement Learning,14,1-3-4-2-0-,256.412
13d.sql,Reinforcement Learning,32,2-7-5-1-0-6-3-8-4-,1264.82
14b.sql,Reinforcement Learning,33,2-6-7-3-5-1-4-0-,1174.21
22b.sql,Reinforcement Learning,99,4-9-10-6-7-8-3-2-0-5-1-,890.747
24b.sql,Reinforcement Learning,99,5-8-11-7-2-0-10-4-1-9-6-3-,1230.85
29b.sql,Reinforcement Learning,99,9-12-16-11-7-5-14-4-10-15-13-6-8-0-1-2-3-,962.297
19a.sql,Reinforcement Learning,99,7-2-9-5-3-1-6-8-0-4-,1184.94
33a.sql,Reinforcement Learning,99,4-12-11-6-13-9-8-2-1-5-10-3-7-0-,311.95
23c.sql,Reinforcement Learning,99,8-9-10-5-4-0-7-3-2-1-6-,606.593
28a.sql,Reinforcement Learning,99,7-12-0-13-1-11-6-10-2-5-8-9-3-4-,1352.36
30a.sql,Reinforcement Learning,99,6-9-3-11-10-0-1-7-4-2-8-5-,1452.62
15c.sql,Reinforcement Learning,99,6-7-4-8-5-2-1-0-3-,623.466
33c.sql,Reinforcement Learning,99,6-11-12-13-10-5-9-7-0-2-3-4-8-1-,323.147
28c.sql,Reinforcement Learning,99,7-12-13-0-10-11-6-2-5-1-8-9-3-4-,1343.49
20a.sql,Reinforcement Learning,99,3-4-9-7-0-8-6-1-2-5-,737.968
24a.sql,Reinforcement Learning,99,5-8-2-9-1-11-10-7-4-6-0-3-,1259.41
23a.sql,Reinforcement Learning,99,8-9-5-10-6-7-0-1-2-3-4-,610.868
29c.sql,Reinforcement Learning,99,9-12-5-16-1-3-4-15-13-2-0-14-8-11-7-10-6-,1415.97
26c.sql,Reinforcement Learning,99,6-9-0-4-3-11-8-1-10-5-2-7-,1009.34
33b.sql,Reinforcement Learning,99,4-12-11-6-13-8-10-3-7-0-1-5-9-2-,293.906
20b.sql,Reinforcement Learning,99,3-4-7-9-5-0-6-1-2-8-,557.908
9a.sql,Reinforcement Learning,99,5-0-2-1-4-3-6-7-,878.898
9c.sql,Reinforcement Learning,99,5-2-1-4-6-7-0-3-,929.223
27b.sql,Reinforcement Learning,99,5-9-8-11-7-10-3-6-4-0-2-1-,630.532
29a.sql,Reinforcement Learning,99,9-12-16-11-5-14-4-10-15-6-8-0-13-7-1-2-3-,1119.81
30c.sql,Reinforcement Learning,50,6-9-3-11-10-0-8-5-2-1-7-4-,2135.61
6f.sql,Reinforcement Learning,10,1-2-0-4-3-,1317.05
22b.sql,Reinforcement Learning,70,4-9-10-6-5-0-1-7-2-8-3-,896.765
24b.sql,Reinforcement Learning,97,5-8-11-2-1-0-9-7-10-6-3-4-,1227.11
6d.sql,Reinforcement Learning,11,3-0-2-1-4-,404.802
17d.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,539.438
13b.sql,Reinforcement Learning,52,4-8-5-0-6-1-3-7-2-,236.129
17e.sql,Reinforcement Learning,19,2-4-0-3-1-5-6-,1903.28
5a.sql,Reinforcement Learning,14,0-2-3-1-4-,119.099
15d.sql,Reinforcement Learning,28,3-6-7-8-4-0-5-2-1-,440.579
16a.sql,Reinforcement Learning,35,7-5-3-1-4-0-2-6-,501.086
11c.sql,Reinforcement Learning,29,2-5-6-7-3-4-1-0-,270.13
10a.sql,Reinforcement Learning,33,2-4-1-0-3-5-6-,813.516
11a.sql,Reinforcement Learning,31,3-6-4-0-1-7-5-2-,139.602
5c.sql,Reinforcement Learning,12,0-2-3-1-4-,1240.82
8a.sql,Reinforcement Learning,41,4-1-0-3-2-5-6-,571.812
12a.sql,Reinforcement Learning,34,3-6-4-1-5-0-7-2-,550.437
14c.sql,Reinforcement Learning,21,2-6-7-5-1-3-4-0-,1245
16c.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,781.471
4b.sql,Reinforcement Learning,10,0-2-4-3-1-,78.125
3a.sql,Reinforcement Learning,9,0-2-1-3-,899.906
1b.sql,Reinforcement Learning,9,1-3-4-2-0-,89.09
18a.sql,Reinforcement Learning,15,1-3-0-5-6-4-2-,921.099
15b.sql,Reinforcement Learning,35,3-6-7-8-4-0-5-2-1-,554.104
26b.sql,Reinforcement Learning,60,6-9-8-11-0-5-7-1-2-4-10-3-,639.279
19c.sql,Reinforcement Learning,45,7-0-2-9-6-4-1-8-5-3-,1245.52
17f.sql,Reinforcement Learning,16,2-4-0-5-3-6-1-,1005.73
27c.sql,Reinforcement Learning,79,5-9-10-11-6-8-7-3-0-2-1-4-,1033.44
6c.sql,Reinforcement Learning,10,1-2-0-4-3-,251.101
32a.sql,Reinforcement Learning,18,5-3-2-0-4-1-,258.044
11d.sql,Reinforcement Learning,23,2-5-6-7-4-3-1-0-,319.853
19d.sql,Reinforcement Learning,54,7-2-9-6-4-5-3-1-8-0-,2305.05
4c.sql,Reinforcement Learning,11,1-3-2-0-4-,174.833
26a.sql,Reinforcement Learning,77,6-9-0-1-4-3-8-11-10-2-5-7-,991.989
10c.sql,Reinforcement Learning,28,0-1-5-4-6-2-3-,934.919
5b.sql,Reinforcement Learning,10,0-2-4-3-1-,98.373
9b.sql,Reinforcement Learning,50,5-0-2-1-7-4-6-3-,694.92
10b.sql,Reinforcement Learning,19,2-4-3-6-1-5-0-,805.28
6a.sql,Reinforcement Learning,15,1-2-0-4-3-,285.116
30a.sql,Reinforcement Learning,69,6-9-3-11-0-10-8-5-1-2-7-4-,1452.54
23b.sql,Reinforcement Learning,97,5-9-8-10-7-6-2-3-4-0-1-,515.875
31a.sql,Reinforcement Learning,38,1-5-10-8-4-0-9-7-6-2-3-,1480.92
8b.sql,Reinforcement Learning,28,2-3-6-1-0-4-5-,470.506
2d.sql,Reinforcement Learning,9,1-3-4-2-0-,259.445
15a.sql,Reinforcement Learning,47,6-7-8-4-3-5-0-2-1-,542.665
15c.sql,Reinforcement Learning,86,6-0-7-5-2-1-4-3-8-,618.983
2c.sql,Reinforcement Learning,14,0-2-3-1-4-,191.854
21a.sql,Reinforcement Learning,27,2-6-7-8-3-5-4-1-0-,966.569
17a.sql,Reinforcement Learning,17,2-4-0-5-3-1-6-,887.309
13c.sql,Reinforcement Learning,54,8-5-6-4-3-1-0-7-2-,181.639
31b.sql,Reinforcement Learning,48,4-8-10-6-0-2-9-7-5-3-1-,1447.92
20c.sql,Reinforcement Learning,42,5-7-0-1-4-3-8-9-2-6-,961.923
7b.sql,Reinforcement Learning,39,6-0-1-7-2-4-3-5-,285.117
21c.sql,Reinforcement Learning,35,2-6-7-8-3-5-4-0-1-,1042.53
7c.sql,Reinforcement Learning,40,5-1-4-3-0-6-7-2-,1052.32
25b.sql,Reinforcement Learning,27,3-6-8-0-5-4-1-7-2-,1172
9d.sql,Reinforcement Learning,30,5-2-7-4-3-1-6-0-,1122.06
14a.sql,Reinforcement Learning,19,2-6-7-5-1-4-3-0-,1202.97
25a.sql,Reinforcement Learning,32,3-6-0-7-8-4-5-2-1-,1280.21
12c.sql,Reinforcement Learning,35,6-5-3-7-2-4-0-1-,803.789
16d.sql,Reinforcement Learning,16,3-5-7-4-2-1-6-0-,751.154
20a.sql,Reinforcement Learning,54,3-4-9-7-6-0-5-1-2-8-,740.848
6e.sql,Reinforcement Learning,21,1-2-0-4-3-,335.751
3c.sql,Reinforcement Learning,9,0-2-1-3-,1197.62
8c.sql,Reinforcement Learning,18,5-1-6-4-3-2-0-,3291.84
11b.sql,Reinforcement Learning,35,3-6-4-0-1-5-2-7-,89.875
21b.sql,Reinforcement Learning,31,2-6-8-7-3-5-4-0-1-,559.92
19b.sql,Reinforcement Learning,68,7-2-1-6-4-9-8-0-5-3-,1034.82
24a.sql,Reinforcement Learning,96,5-8-2-9-1-0-10-11-7-6-3-4-,1281.21
1a.sql,Reinforcement Learning,9,1-3-4-2-0-,130.029
23a.sql,Reinforcement Learning,56,6-10-8-9-5-7-4-3-2-0-1-,551.86
22a.sql,Reinforcement Learning,35,4-9-10-8-3-5-7-2-6-1-0-,904.592
26c.sql,Reinforcement Learning,98,6-9-0-4-3-11-1-7-10-2-8-5-,995.528
27a.sql,Reinforcement Learning,64,5-9-10-11-6-8-0-2-1-7-3-4-,667.749
17c.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,478.518
30b.sql,Reinforcement Learning,69,6-9-11-0-1-8-3-10-5-2-7-4-,1400.13
3b.sql,Reinforcement Learning,8,0-2-3-1-,506.167
18b.sql,Reinforcement Learning,17,2-4-6-3-0-5-1-,1256.7
1c.sql,Reinforcement Learning,9,1-3-4-2-0-,88.24
31c.sql,Reinforcement Learning,48,1-5-8-4-10-0-9-7-6-2-3-,2215.91
7a.sql,Reinforcement Learning,38,2-6-5-1-7-4-0-3-,350.06
4a.sql,Reinforcement Learning,13,1-3-2-0-4-,130.191
16b.sql,Reinforcement Learning,24,3-5-1-6-4-2-0-7-,2610.54
18c.sql,Reinforcement Learning,23,5-0-3-6-1-4-2-,2082.47
20b.sql,Reinforcement Learning,68,8-4-7-9-3-5-6-0-1-2-,555.573
9a.sql,Reinforcement Learning,29,5-0-2-1-7-4-3-6-,853.992
22c.sql,Reinforcement Learning,74,4-9-10-7-8-3-2-5-6-1-0-,1359.17
22d.sql,Reinforcement Learning,67,4-9-10-7-5-8-3-2-6-0-1-,1367.72
2b.sql,Reinforcement Learning,13,1-3-4-2-0-,291.934
8d.sql,Reinforcement Learning,19,5-1-6-4-3-2-0-,788.779
32b.sql,Reinforcement Learning,15,5-3-2-0-4-1-,261.615
9c.sql,Reinforcement Learning,53,5-2-7-6-4-1-0-3-,936.655
12b.sql,Reinforcement Learning,20,2-5-7-6-3-4-0-1-,265.42
17b.sql,Reinforcement Learning,16,5-0-4-2-6-3-1-,643.133
1d.sql,Reinforcement Learning,9,1-3-4-2-0-,88.641
13a.sql,Reinforcement Learning,28,0-5-1-6-3-7-2-8-4-,783.171
25c.sql,Reinforcement Learning,42,3-6-0-8-4-1-7-5-2-,2155.07
6b.sql,Reinforcement Learning,11,4-2-1-0-3-,284.236
2a.sql,Reinforcement Learning,13,1-3-2-0-4-,239.259
13d.sql,Reinforcement Learning,32,2-7-5-1-0-6-3-8-4-,1269.12
14b.sql,Reinforcement Learning,37,2-6-7-5-4-1-0-3-,1173.37
29b.sql,Reinforcement Learning,99,9-12-16-11-5-14-4-15-8-0-13-7-10-6-1-2-3-,955.567
19a.sql,Reinforcement Learning,99,7-2-9-1-6-4-5-3-8-0-,1195.21
33a.sql,Reinforcement Learning,99,4-12-11-6-8-9-2-1-10-3-13-5-7-0-,327.815
23c.sql,Reinforcement Learning,99,4-8-9-10-5-7-0-1-2-6-3-,633.389
28a.sql,Reinforcement Learning,99,7-12-0-13-1-2-10-11-9-5-3-4-6-8-,1366.71
33c.sql,Reinforcement Learning,99,6-11-12-13-10-3-5-4-9-8-7-0-1-2-,317.072
28c.sql,Reinforcement Learning,99,7-12-13-0-11-6-10-1-2-5-8-9-3-4-,1337
29c.sql,Reinforcement Learning,99,9-12-5-16-1-3-13-15-2-0-4-14-8-11-7-10-6-,1385.13
