Group,Optimizer,JoinOrder,ExecutionTime
16c.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4276.12
4b.sql,Dynamic Programming,4--3---2---1---0--,121.906
33a.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,469.557
3a.sql,Dynamic Programming,3--2---1---0--,1077.06
1b.sql,Dynamic Programming,4--3---2---1---0--,391.96
18a.sql,Dynamic Programming,6--4---3---2---1---5--0---,5287.77
15b.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,540.734
23c.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,635.882
26b.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,744.436
19c.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1523.76
17f.sql,Dynamic Programming,6--4---3---2---1---5--0---,1928.37
27c.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,958.601
6c.sql,Dynamic Programming,4--2---1---3--0---,258.722
28a.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,1365.64
32a.sql,Dynamic Programming,5--4--3----2---1---0--,362.579
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,249.116
19d.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,4274.94
4c.sql,Dynamic Programming,4--3---2---1---0--,527.868
26a.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,862.912
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1334.39
5b.sql,Dynamic Programming,4--3---2---1---0--,643.246
9b.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,735.607
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,836.62
6a.sql,Dynamic Programming,4--2---1---3--0---,318.53
30a.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,1632.27
23b.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,458.22
31a.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,1656.61
8b.sql,Dynamic Programming,6--5--3--2---4--1------0--,467.457
2d.sql,Dynamic Programming,4--3---2---1---0--,1101.55
15a.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,560.24
15c.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1279.84
33c.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,1267.06
2c.sql,Dynamic Programming,4--3---2---1---0--,1101.88
21a.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,966.759
17a.sql,Dynamic Programming,6--4---3---2---1---5--0---,1454.97
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1094.46
31b.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,1663.94
20c.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,1326.12
7b.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,372.586
21c.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,982.893
7c.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,1684.95
25b.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,1198.93
9d.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,1253.44
28c.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,1399.03
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1311.44
25a.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,2971.47
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,882.834
16d.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4466.17
20a.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,1013.01
6e.sql,Dynamic Programming,4--2---1---3--0---,414.817
3c.sql,Dynamic Programming,3--2---1---0--,1761.83
8c.sql,Dynamic Programming,6--5--3--2---4--1------0--,4617.3
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,113.703
21b.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,536.031
19b.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1120.11
24a.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1545.81
1a.sql,Dynamic Programming,4--3---2---1---0--,321.192
23a.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,538.625
29c.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1503.95
22a.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,922.187
26c.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,988.152
27a.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,644.24
17c.sql,Dynamic Programming,6--4---3---2---1---5--0---,1188.47
30b.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,1620.95
3b.sql,Dynamic Programming,3--2---1---0--,541.692
18b.sql,Dynamic Programming,6--4---3---2---1---5--0---,1314.52
33b.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,428.041
1c.sql,Dynamic Programming,4--3---2---1---0--,146.422
31c.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,2451.53
28b.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,805.89
7a.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,600.943
4a.sql,Dynamic Programming,4--3---2---1---0--,310.165
16b.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,6175.12
18c.sql,Dynamic Programming,6--4---3---2---1---5--0---,2220.19
20b.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,472.645
9a.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,938.114
22c.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,1453.43
22d.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,1582.27
2b.sql,Dynamic Programming,4--3---2---1---0--,1092.87
8d.sql,Dynamic Programming,6--5--3--2---4--1------0--,3379.79
32b.sql,Dynamic Programming,5--4--3----2---1---0--,369.762
9c.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,1153.62
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,231.252
17b.sql,Dynamic Programming,6--4---3---2---1---5--0---,1272.28
1d.sql,Dynamic Programming,4--3---2---1---0--,457.662
27b.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,631.307
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1827.75
25c.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,4801.37
6b.sql,Dynamic Programming,4--2---1---3--0---,290.833
2a.sql,Dynamic Programming,4--3---2---1---0--,1153.1
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1382.9
29a.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1288.19
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1188.61
30c.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,2323.67
6f.sql,Dynamic Programming,4--2---1---3--0---,2409.8
22b.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,903.391
24b.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1342.58
6d.sql,Dynamic Programming,4--2---1---3--0---,413.645
17d.sql,Dynamic Programming,6--4---3---2---1---5--0---,1261
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1167.27
17e.sql,Dynamic Programming,6--4---3---2---1---5--0---,3129.76
5a.sql,Dynamic Programming,4--3---2---1---0--,958.838
15d.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1719.89
16a.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4320.51
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.19
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,948.244
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,163.263
5c.sql,Dynamic Programming,4--3---2---1---0--,1388.72
29b.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1099.48
8a.sql,Dynamic Programming,6--5--3--2---4--1------0--,594.472
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,611.496
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1584.08
19a.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1441.6
16c.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4289.72
4b.sql,Dynamic Programming,4--3---2---1---0--,119.923
33a.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,468.485
3a.sql,Dynamic Programming,3--2---1---0--,1064.7
1b.sql,Dynamic Programming,4--3---2---1---0--,388.183
18a.sql,Dynamic Programming,6--4---3---2---1---5--0---,5289.84
15b.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,543.338
23c.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,631.774
26b.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,742.621
19c.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1527.94
17f.sql,Dynamic Programming,6--4---3---2---1---5--0---,1943.95
27c.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,949.731
6c.sql,Dynamic Programming,4--2---1---3--0---,257.21
28a.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,1369.06
32a.sql,Dynamic Programming,5--4--3----2---1---0--,362.265
11d.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,247.144
19d.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,4263.67
4c.sql,Dynamic Programming,4--3---2---1---0--,527.929
26a.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,857.294
10c.sql,Dynamic Programming,6--4---3---2---5--1----0--,1326.62
5b.sql,Dynamic Programming,4--3---2---1---0--,642.92
9b.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,734.908
10b.sql,Dynamic Programming,6--4---3---2---5--1----0--,840.021
6a.sql,Dynamic Programming,4--2---1---3--0---,319.08
30a.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,1631.49
23b.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,456.355
31a.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,1659.82
8b.sql,Dynamic Programming,6--5--3--2---4--1------0--,478.282
2d.sql,Dynamic Programming,4--3---2---1---0--,1104.99
15a.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,562.096
15c.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1277.45
33c.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,1277.88
2c.sql,Dynamic Programming,4--3---2---1---0--,1106.31
21a.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,967.492
17a.sql,Dynamic Programming,6--4---3---2---1---5--0---,1458.14
13c.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1105.01
31b.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,1665.53
20c.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,1332.45
7b.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,368.114
21c.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,977.186
7c.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,1694.4
25b.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,1200.44
9d.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,1244.87
28c.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,1399.73
14a.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1308.82
25a.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,2986.71
12c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,895.661
16d.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4464.56
20a.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,1021.69
6e.sql,Dynamic Programming,4--2---1---3--0---,412.822
3c.sql,Dynamic Programming,3--2---1---0--,1761.67
8c.sql,Dynamic Programming,6--5--3--2---4--1------0--,4596.17
11b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,115.8
21b.sql,Dynamic Programming,6--2---4--0---1---8--7---3-----5--,542.168
19b.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1118.88
24a.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1560.83
1a.sql,Dynamic Programming,4--3---2---1---0--,321.764
23a.sql,Dynamic Programming,8--4---9--5---7--2---3---10--6---1--0------,540.893
29c.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1508.76
22a.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,920.022
26c.sql,Dynamic Programming,4--3---10---9--6---11--7---8--5---1--0---2------,986.139
27a.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,651.858
17c.sql,Dynamic Programming,6--4---3---2---1---5--0---,1190.51
30b.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,1622.04
3b.sql,Dynamic Programming,3--2---1---0--,535.045
18b.sql,Dynamic Programming,6--4---3---2---1---5--0---,1314.27
33b.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,429.365
1c.sql,Dynamic Programming,4--3---2---1---0--,150.055
31c.sql,Dynamic Programming,9--0---6--2---8--4---5--1---7--3---10------,2445.52
28b.sql,Dynamic Programming,10--5---12--7---9--3---4---13--8---11--6---1--0---2-------,771.812
7a.sql,Dynamic Programming,7--4---3---1---6--0---2---5---,596.621
4a.sql,Dynamic Programming,4--3---2---1---0--,313.096
16b.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,6176.52
18c.sql,Dynamic Programming,6--4---3---2---1---5--0---,2220.83
20b.sql,Dynamic Programming,8--4---3---7--5---9--6---1--0---2-----,468.256
9a.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,935.89
22c.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,1455.98
22d.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,1579.91
2b.sql,Dynamic Programming,4--3---2---1---0--,1093.58
8d.sql,Dynamic Programming,6--5--3--2---4--1------0--,3374.76
32b.sql,Dynamic Programming,5--4--3----2---1---0--,367.535
9c.sql,Dynamic Programming,7--4---3---6--2----1---5--0---,1156.25
12b.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,227.78
17b.sql,Dynamic Programming,6--4---3---2---1---5--0---,1259.31
1d.sql,Dynamic Programming,4--3---2---1---0--,459.002
27b.sql,Dynamic Programming,9--5---7--3---4---1--0---2---10--6----11-----8--,638.755
13a.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1837.41
25c.sql,Dynamic Programming,7--0---8--6---5---4---3---2---1---,4845.05
6b.sql,Dynamic Programming,4--2---1---3--0---,286.523
2a.sql,Dynamic Programming,4--3---2---1---0--,1146.24
13d.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1402.45
29a.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1277.53
14b.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1187.28
30c.sql,Dynamic Programming,10--3---7--4---9--6---8--5---1--0---2----11-----,2318.12
6f.sql,Dynamic Programming,4--2---1---3--0---,2415.46
22b.sql,Dynamic Programming,7--2---9--4---6--0---1---10--5---8--3------,902.341
24b.sql,Dynamic Programming,2--1---10---9--0----11--8---7---6---5---4---3---,1345.94
6d.sql,Dynamic Programming,4--2---1---3--0---,414.783
17d.sql,Dynamic Programming,6--4---3---2---1---5--0---,1261.37
13b.sql,Dynamic Programming,6--3---5--0---1---8--7---4---2----,1168.67
17e.sql,Dynamic Programming,6--4---3---2---1---5--0---,3126.36
5a.sql,Dynamic Programming,4--3---2---1---0--,953.42
15d.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,1721.45
16a.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4321.48
11c.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,164.128
10a.sql,Dynamic Programming,6--4---3---2---5--1----0--,948.416
11a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,162.571
5c.sql,Dynamic Programming,4--3---2---1---0--,1395.53
29b.sql,Dynamic Programming,5--4---15---14--0---8---13----11--7---12--9---10--6---2--1---3---16------,1100.09
8a.sql,Dynamic Programming,6--5--3--2---4--1------0--,599.854
12a.sql,Dynamic Programming,5--2---4--0---1---7--6---3----,611.436
14c.sql,Dynamic Programming,4--0---7--6---5---3---2---1---,1575.89
19a.sql,Dynamic Programming,2--1---8---7--0----9--6---5---4---3---,1439.41
16c.sql,Dynamic Programming,6--0---1---7--5---4---3---2---,4278.49
4b.sql,Dynamic Programming,4--3---2---1---0--,121.238
33a.sql,Dynamic Programming,7--0---12--4---9--2---11--6----10--3-----13--5-----8--1---,467.421
3a.sql,Dynamic Programming,3--2---1---0--,1073.47
1b.sql,Dynamic Programming,4--3---2---1---0--,388.708
18a.sql,Dynamic Programming,6--4---3---2---1---5--0---,5275.4
15b.sql,Dynamic Programming,6--3---7--4---5--1---2---8--0-----,540.954
